Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
134	0.8781	0.8262	0.7908	0.7777	0.7576	0.7092	0.5611	0.7092	0.7326
135	0.8727	0.8196	0.7880	0.7730	0.7597	0.6950	0.5536	0.6950	0.7259
136	0.8709	0.8175	0.7880	0.7730	0.7597	0.6950	0.5536	0.6950	0.7259
137	0.8712	0.8171	0.7966	0.7768	0.7917	0.6738	0.5672	0.6738	0.7280
138	0.8752	0.8223	0.7880	0.7764	0.7481	0.7163	0.5567	0.7163	0.7319
139	0.8652	0.8106	0.7880	0.7650	0.7913	0.6454	0.5462	0.6454	0.7109
140	0.8699	0.8114	0.7736	0.7576	0.7422	0.6738	0.5229	0.6738	0.7063
141	0.8674	0.8124	0.7851	0.7706	0.7538	0.6950	0.5481	0.6950	0.7232
142	0.8701	0.8208	0.7966	0.7871	0.7536	0.7376	0.5761	0.7376	0.7455
143	0.8743	0.8308	0.7708	0.7677	0.7020	0.7518	0.5294	0.7518	0.7260
144	0.8703	0.8274	0.7593	0.7524	0.6966	0.7163	0.5025	0.7163	0.7063
145	0.8711	0.8230	0.7851	0.7695	0.7578	0.6879	0.5470	0.6879	0.7212
146	0.8724	0.8281	0.7794	0.7726	0.7222	0.7376	0.5434	0.7376	0.7298
147	0.8684	0.8164	0.7851	0.7717	0.7500	0.7021	0.5491	0.7021	0.7253
148	0.8790	0.8340	0.7822	0.7716	0.7372	0.7163	0.5457	0.7163	0.7266
149	0.8757	0.8302	0.7708	0.7620	0.7163	0.7163	0.5240	0.7163	0.7163
150	0.8734	0.8270	0.7736	0.7644	0.7214	0.7163	0.5294	0.7163	0.7189
151	0.8737	0.8252	0.7622	0.7525	0.7071	0.7021	0.5056	0.7021	0.7046
152	0.8735	0.8223	0.7937	0.7755	0.7805	0.6809	0.5626	0.6809	0.7273
153	0.8754	0.8303	0.7880	0.7799	0.7376	0.7376	0.5597	0.7376	0.7376
154	0.8722	0.8250	0.7822	0.7762	0.7241	0.7447	0.5499	0.7447	0.7343
155	0.8705	0.8183	0.7822	0.7648	0.7600	0.6738	0.5394	0.6738	0.7143
156	0.8737	0.8296	0.7765	0.7634	0.7368	0.6950	0.5316	0.6950	0.7153
157	0.8757	0.8292	0.7851	0.7706	0.7538	0.6950	0.5481	0.6950	0.7232
158	0.8751	0.8271	0.7851	0.7695	0.7578	0.6879	0.5470	0.6879	0.7212
159	0.8737	0.8280	0.7736	0.7633	0.7246	0.7092	0.5283	0.7092	0.7168
160	0.8715	0.8232	0.7708	0.7574	0.7293	0.6879	0.5196	0.6879	0.7080
161	0.8742	0.8301	0.7736	0.7633	0.7246	0.7092	0.5283	0.7092	0.7168
162	0.8740	0.8309	0.7679	0.7733	0.6807	0.8014	0.5314	0.8014	0.7362
163	0.8732	0.8266	0.7822	0.7693	0.7444	0.7021	0.5436	0.7021	0.7226
164	0.8741	0.8252	0.7851	0.7672	0.7661	0.6738	0.5449	0.6738	0.7170
165	0.8753	0.8308	0.7851	0.7740	0.7426	0.7163	0.5512	0.7163	0.7292
166	0.8742	0.8303	0.7880	0.7707	0.7680	0.6809	0.5515	0.6809	0.7218
